idNhanh,parentId,productName,facebookID,productName,
7086569,18218248,Bao da cảm ứng Baseus chính hãng iPhone X/Xs Đỏ,#N/A,Bao da cảm ứng Baseus chính hãng iPhone X/Xs,
5537728,-1,bao da samsung tab,764,Bao da SamSung Galaxy Tab 4 10.1 Hoco,Giang
11884942,18218249,Bao da cảm ứng Baseus chính hãng iPhone XR Đen,3687,Bao da cảm ứng Baseus chính hãng iPhone XR,
11884943,18218249,Bao da cảm ứng Baseus chính hãng iPhone XR Đỏ,3687,Bao da cảm ứng Baseus chính hãng iPhone XR,
5538018,-1,Bao da Starbucks iPad mini 123 xanh lá đậm,0,Bao da Starbucks iPad mini 123,Giang
10097343,18218250,Bao da cảm ứng Baseus chính hãng iPhone Xs Max Đen,3321,Bao da cảm ứng Baseus chính hãng iPhone Xs Max,
9786443,18218250,Bao da cảm ứng Baseus chính hãng iPhone Xs Max Đỏ,3321,Bao da cảm ứng Baseus chính hãng iPhone Xs Max,
5538019,-1,Bao da Starbucks iPad mini 123 xanh lá nhạt,0,Bao da Starbucks iPad mini 123,Giang
5714463,15374404,Bao da cảm ứng iPhone 7 Đen,2708,Bao da cảm ứng iPhone 7,
5714465,15374404,Bao da cảm ứng iPhone 7 Đỏ,2708,Bao da cảm ứng iPhone 7,
5714467,15374404,Bao da cảm ứng iPhone 7 Hồng,2708,Bao da cảm ứng iPhone 7,
5714468,15374404,Bao da cảm ứng iPhone 7 hường,2708,Bao da cảm ứng iPhone 7,
5537991,-1,bao da Sview a7 2016 trắng,0,bao da Sview a7 2016,Giang
5714469,15374405,Bao da cảm ứng iPhone 7 Plus Đen,2709,Bao da cảm ứng iPhone 7 Plus,
5714471,15374405,Bao da cảm ứng iPhone 7 Plus Đỏ,2709,Bao da cảm ứng iPhone 7 Plus,
5714473,15374405,Bao da cảm ứng iPhone 7 Plus Hồng,2709,Bao da cảm ứng iPhone 7 Plus,
5714474,15374405,Bao da cảm ứng iPhone 7 Plus hường,2709,Bao da cảm ứng iPhone 7 Plus,
5714470,15374405,Bao da cảm ứng iPhone 7 Plus Tiệp,2709,Bao da cảm ứng iPhone 7 Plus,
5714472,15374405,Bao da cảm ứng iPhone 7 Plus Vàng,2709,Bao da cảm ứng iPhone 7 Plus,
5714464,15374404,Bao da cảm ứng iPhone 7 Tiệp,2708,Bao da cảm ứng iPhone 7,
5714466,15374404,Bao da cảm ứng iPhone 7 Vàng,2708,Bao da cảm ứng iPhone 7,
5540205,-1,bao da Sview S4 chính hãng,779,Bao da S View S4 GJILIS,Giang
5538031,-1,bao da Sview S5 chính hãng đen,811,S View Cover cho Samsung Galaxy S5,Giang
5538034,-1,bao da Sview S5 chính hãng gold,811,S View Cover cho Samsung Galaxy S5,Giang
5538030,-1,bao da Sview S5 chính hãng hồng,811,S View Cover cho Samsung Galaxy S5,Giang
5538032,-1,bao da Sview S5 chính hãng trắng,811,S View Cover cho Samsung Galaxy S5,Giang
5538035,-1,bao da Sview S5 chính hãng xám,811,S View Cover cho Samsung Galaxy S5,Giang
5534753,15292388,Bao da Case Me iphone 6 đen,1580,Bao da Case Me iphone 6,
5534755,15292388,Bao da Case Me iphone 6 đỏ,1580,Bao da Case Me iphone 6,
5534754,15292388,Bao da Case Me iphone 6 nâu,1580,Bao da Case Me iphone 6,
5534756,15292388,Bao da Case Me iphone 6 trắng,1580,Bao da Case Me iphone 6,
5538033,-1,bao da Sview S5 chính hãng xanh,811,S View Cover cho Samsung Galaxy S5,Giang
5534757,15292389,Bao da Case Me iphone 6Plus đen,1581,Bao da Case Me iphone 6Plus,
5534759,15292389,Bao da Case Me iphone 6Plus đỏ,1581,Bao da Case Me iphone 6Plus,
5534758,15292389,Bao da Case Me iphone 6Plus nâu,1581,Bao da Case Me iphone 6Plus,
5534760,15292389,Bao da Case Me iphone 6Plus trắng,1581,Bao da Case Me iphone 6Plus,
17475236,17471253,Bao da clear view có chip chính hãng Note 8 đen,#N/A,Bao da clear view có chip chính hãng Note 8,
17475237,17471253,Bao da clear view có chip chính hãng Note 8 xanh dương,#N/A,Bao da clear view có chip chính hãng Note 8,
